"bill","date","status","status.prev"
"hr0139-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0139-116",2019-02-05,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0140-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0140-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0141-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0141-116",2019-01-31,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0142-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0142-116",2019-01-31,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0143-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0143-116",2019-02-05,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0144-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0145-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0145-116",2019-03-14,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0146-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0146-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0147-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0147-116",2019-01-03,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0148-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0148-116",2019-01-25,"B. HOUSE COMMITTEE CONSIDERATION","A. INTRODUCTION IN HOUSE"
"hr0149-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
"hr0150-116",2019-01-03,"A. INTRODUCTION IN HOUSE",NA
