"id","introduced","official_title","passed_house","passed_senate","session","short_title","top_subject","type","bill"
"s108-116","2019-01-10 00:01:00","A bill to provide deferred action for certain individuals brought to the United States and to establish a border security trust fund, and for other purposes.","False","False",116,"A bill to provide deferred action for certain individuals brought to the United States and to establish a border security trust fund, and for other purposes.","Immigration","s","s0108-116"
"s110-116","2019-01-10 00:01:00","A bill to amend the Internal Revenue Code of 1986 to provide for a permanent extension of the lower income threshold for the medical expense deduction.","False","False",116,"Medical Expense Savings Act","Taxation","s","s0110-116"
"s111-116","2019-01-10 00:01:00","A bill to make continuing appropriations for certain employees of the Department of Homeland Security and the Department of Justice in the event of a shutdown of the Federal Government.","False","False",116,"Pay Our Protectors Act of 2019","Economics and Public Finance","s","s0111-116"
"s112-116","2019-01-14 00:01:00","A bill to amend the charter of the Future Farmers of America, and for other purposes.","False","False",116,"National FFA Organization's Federal Charter Amendments Act","Congress","s","s0112-116"
"s113-116","2019-01-14 00:01:00","A bill to appropriate funds for pay and allowances of excepted Federal employees, and for other purposes.","False","False",116,"Shutdown Fairness Act","Economics and Public Finance","s","s0113-116"
"s114-116","2019-01-14 00:01:00","A bill to amend title 31, United States Code, to provide that activities relating to the training and readiness of the reserve components of the Armed Forces during a lapse in appropriations shall constitute voluntary services that may be accepted by the United States.","False","False",116,"A bill to amend title 31, United States Code, to provide that activities relating to the training and readiness of the reserve components of the Armed Forces during a lapse in appropriations shall constitute voluntary services that may be accepted by the","Armed Forces and National Security","s","s0114-116"
"s115-116","2019-01-15 00:01:00","A bill for the relief of Alemseghed Mussie Tesfamical.","False","False",116,"A bill for the relief of Alemseghed Mussie Tesfamical.","","s","s0115-116"
"s116-116","2019-01-15 00:01:00","A bill to address maternal mortality and morbidity.","False","False",116,"MOMS Act","Health","s","s0116-116"
"s117-116","2019-01-15 00:01:00","A bill to prohibit discrimination against individuals with disabilities who need long-term services and supports, and for other purposes.","False","False",116,"Disability Integration Act of 2019","Civil Rights and Liberties, Minority Issues","s","s0117-116"
"s119-116","2019-01-15 00:01:00","A bill to amend title 18, United States Code, to prohibit taking minors across State lines in circumvention of laws requiring the involvement of parents in abortion decisions.","False","False",116,"Child Interstate Abortion Notification Act","Crime and Law Enforcement","s","s0119-116"
"s120-116","2019-01-15 00:01:00","A bill to protect victims of stalking from gun violence.","False","False",116,"Protecting Domestic Violence and Stalking Victims Act of 2019","Crime and Law Enforcement","s","s0120-116"
"s121-116","2019-01-15 00:01:00","A bill to require a study of the well-being of the United States automotive industry and to stay the investigation into the national security effects of automotive imports until the study is completed, and for other purposes.","False","False",116,"Automotive Jobs Act of 2019","Foreign Trade and International Finance","s","s0121-116"
"s122-116","2019-01-15 00:01:00","A bill to amend title 18, United States Code, to provide for penalties for the sale of any Purple Heart awarded to a member of the Armed Forces.","False","False",116,"Private Corrado Piccoli Purple Heart Preservation Act","Crime and Law Enforcement","s","s0122-116"
"s124-116","2019-01-15 00:01:00","A bill to amend the Fair Labor Standards Act of 1938 to prevent employers from using non-compete agreements in employment contracts for certain non-exempt employees.","False","False",116,"Freedom to Compete Act","Labor and Employment","s","s0124-116"
"s125-116","2019-01-15 00:01:00","A bill to amend the Agricultural Act of 2014 to repeal the forfeiture rule for peanuts under the nonrecourse marketing assistance loan program, prohibit the use of Federal funds for certain activities, and for other purposes.","False","False",116,"REDUCE Government Waste Act","Agriculture and Food","s","s0125-116"
"s126-116","2019-01-15 00:01:00","A bill to direct the Secretary of the Interior to establish a demonstration program to adapt the successful practices of providing foreign aid to underdeveloped economies to the provision of Federal economic development assistance to Native communities in similarly situated remote areas in the United States, and for other purposes.","False","False",116,"Native American Millennium Challenge Demonstration Act","Native Americans","s","s0126-116"
"s128-116","2019-01-15 00:01:00","A bill to regulate certain State impositions on interstate commerce.","False","False",116,"Stop Taxing Our Potential Act of 2019","Taxation","s","s0128-116"
"s129-116","2019-01-15 00:01:00","A bill to provide for the establishment of a national memorial and national monument to commemorate those killed by the collapse of the Saint Francis Dam on March 12, 1928, and for other purposes.","False","False",116,"Saint Francis Dam Disaster National Memorial Act","Water Resources Development","s","s0129-116"
"s130-116","2019-01-15 00:01:00","A bill to amend title 18, United States Code, to prohibit a health care practitioner from failing to exercise the proper degree of care in the case of a child who survives an abortion or attempted abortion.","False","False",116,"Born-Alive Abortion Survivors Protection Act","Crime and Law Enforcement","s","s0130-116"
"s131-116","2019-01-15 00:01:00","A bill to amend title XIX of the Social Security Act to prohibit Federal Medicaid funding for the administrative costs of providing health benefits to individuals who are unauthorized immigrants.","False","False",116,"Protect Medicaid Act","Health","s","s0131-116"
"s132-116","2019-01-15 00:01:00","A bill to establish the Commission on the State of U.S. Olympics and Paralympics.","False","False",116,"Strengthening U.S. Olympics Act","Sports and Recreation","s","s0132-116"
"s133-116","2019-01-15 00:01:00","A bill to award a Congressional Gold Medal, collectively, to the United States merchant mariners of World War II, in recognition of their dedicated and vital service during World War II.","False","False",116,"Merchant Mariners of World War II Congressional Gold Medal Act of 2019","Armed Forces and National Security","s","s0133-116"
"s134-116","2019-01-15 00:01:00","A bill to amend title 18, United States Code, with regard to stalking.","False","False",116,"Combat Online Predators Act","Crime and Law Enforcement","s","s0134-116"
"s135-116","2019-01-15 00:01:00","A bill to prioritize the allocation of H-2B visas for States with low unemployment rates.","False","False",116,"Prioritizing Help to Businesses Act","Immigration","s","s0135-116"
"s136-116","2019-01-15 00:01:00","A bill to amend the Social Security Act to establish a new employment, training, and supportive services program for the long-term unemployed and individuals with barriers to employment, and for other purposes.","False","False",116,"ELEVATE Act of 2019","Social Welfare","s","s0136-116"
"s137-116","2019-01-16 00:01:00","A bill to amend the Internal Revenue Code of 1986 to increase the credit for employers establishing workplace child care facilities, to increase the child care credit to encourage greater use of quality child care services, to provide incentives for students to earn child care-related degrees and to work in child care facilities, and to increase the exclusion for employer-provided dependent care assistance.","False","False",116,"Right Start Child Care and Education Act of 2019","Taxation","s","s0137-116"
"s138-116","2019-01-16 00:01:00","A bill to modify the boundary of the Shiloh National Military Park located in the States of Tennessee and Mississippi, to establish Parker's Crossroads Battlefield as an affiliated area of the National Park System, and for other purposes.","False","False",116,"Shiloh National Military Park Boundary Adjustment and Parker's Crossroads Battlefield Designation Act","Public Lands and Natural Resources","s","s0138-116"
