_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_top_subject,_type
hr261-116,2019-01-04 00:01:00,"To authorize the Secretary of the Interior to annually designate at least one city in the United States as an ""American World War II Heritage City"", and for other purposes.",False,False,116,"To authorize the Secretary of the Interior to annually designate at least one city in the United States as an ""American World War II Heritage City"", and for other purposes.",Armed Forces and National Security,hr
hr262-116,2019-01-04 00:01:00,"To establish the Susquehanna National Heritage Area in the State of Pennsylvania, and for other purposes.",False,False,116,Susquehanna National Heritage Area Act,Public Lands and Natural Resources,hr
hr263-116,2019-01-04 00:01:00,To rename the Oyster Bay National Wildlife Refuge as the Congressman Lester Wolff Oyster Bay National Wildlife Refuge.,False,False,116,To rename the Oyster Bay National Wildlife Refuge as the Congressman Lester Wolff Oyster Bay National Wildlife Refuge.,Public Lands and Natural Resources,hr
hr264-116,2019-01-08 00:01:00,"Making appropriations for financial services and general government for the fiscal year ending September 30, 2019, and for other purposes.",True,False,116,"Financial Services and General Government Appropriations Act, 2019",Economics and Public Finance,hr
hr265-116,2019-01-08 00:01:00,"Making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies programs for the fiscal year ending September 30, 2019, and for other purposes.",True,False,116,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2019",Economics and Public Finance,hr
hr266-116,2019-01-08 00:01:00,"Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2019, and for other purposes.",True,False,116,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2019",Economics and Public Finance,hr
hr267-116,2019-01-08 00:01:00,"Making appropriations for the Department of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2019, and for other purposes.",True,False,116,"Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2019",Economics and Public Finance,hr
hr268-116,2019-01-08 00:01:00,"Making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes.",True,False,116,"Supplemental Appropriations Act, 2019",Emergency Management,hr
hr269-116,2019-01-08 00:01:00,"To reauthorize certain programs under the Public Health Service Act and the Federal Food, Drug, and Cosmetic Act with respect to public health security and all-hazards preparedness and response, to clarify the regulatory framework with respect to certain nonprescription drugs that are marketed without an approved drug application, and for other purposes.",True,False,116,Pandemic and All-Hazards Preparedness and Advancing Innovation Act of 2019,Health,hr
hr270-116,2019-01-08 00:01:00,"To direct the Congressional Budget Office to submit daily reports during the period in which a Government shutdown is in effect on the effects of the shutdown on the economy and the costs of the shutdown to taxpayers, and for other purposes.",False,False,116,Government Shutdown Impact Report Act of 2019,Economics and Public Finance,hr
hr271-116,2019-01-08 00:01:00,"Making appropriations for Federal employees working during the Government shutdown beginning on or about December 22, 2018, and for other purposes.",False,False,116,No Work Without Pay Act,Government Operations and Politics,hr
hr272-116,2019-01-08 00:01:00,"To prevent States and local jurisdictions from interfering with the production and distribution of agricultural products in interstate or foreign commerce, and for other purposes.",False,False,116,Protect Interstate Commerce Act of 2019,Agriculture and Food,hr
hr273-116,2019-01-08 00:01:00,"To improve Presidential and Vice Presidential tax transparency, and for other purposes.",False,False,116,Presidential Tax Transparency Act of 2019,Taxation,hr
hr274-116,2019-01-08 00:01:00,"To authorize, direct, expedite, and facilitate a land exchange in Yavapai County, Arizona, and for other purposes.",False,False,116,Cottonwood Land Exchange Act of 2019,Public Lands and Natural Resources,hr
hr275-116,2019-01-08 00:01:00,To amend part D of title XVIII of the Social Security Act to require the Secretary of Health and Human Services to negotiate covered part D drug prices on behalf of Medicare beneficiaries.,False,False,116,Medicare Prescription Drug Price Negotiation Act of 2019,Health,hr
hr276-116,2019-01-08 00:01:00,To direct the Secretary of Education to establish the Recognizing Inspiring School Employees (RISE) Award Program recognizing excellence exhibited by classified school employees providing services to students in prekindergarten through high school.,True,True,116,Recognizing Achievement in Classified School Employees Act,Education,hr
hr277-116,2019-01-08 00:01:00,"To adjust collateral requirements under the Small Business Act for disaster loans, and for other purposes.",True,False,116,ASCEND Act of 2019,Commerce,hr
hr278-116,2019-01-08 00:01:00,"To direct the Secretary of the Interior to convey certain facilities, easements, and rights-of-way to the Kennewick Irrigation District, and for other purposes.",False,False,116,"To direct the Secretary of the Interior to convey certain facilities, easements, and rights-of-way to the Kennewick Irrigation District, and for other purposes.",Water Resources Development,hr
hr279-116,2019-01-08 00:01:00,"To permanently prohibit oil and gas leasing off the coast of the State of California, and for other purposes.",False,False,116,California Clean Coast Act of 2019,Energy,hr
hr280-116,2019-01-08 00:01:00,"To provide for systemic research, treatment, prevention, awareness, and dissemination of information with respect to sports-related and other concussions.",False,False,116,Concussion Awareness and Education Act of 2019,Health,hr
hr281-116,2019-01-08 00:01:00,"To amend the Federal Reserve Act to require Federal Reserve banks to interview at least one individual reflective of gender diversity and one individual reflective of racial or ethnic diversity when appointing Federal Reserve bank presidents, and for other purposes.",True,False,116,Ensuring Diverse Leadership Act of 2019,Finance and Financial Sector,hr
hr282-116,2019-01-08 00:01:00,To improve public safety through sensible reforms to firearms regulations.,False,False,116,SAFER Now Act,Crime and Law Enforcement,hr
hr283-116,2019-01-08 00:01:00,"To adjust the boundaries of the Ocmulgee Mounds National Historical Park, and for other purposes.",False,False,116,"To adjust the boundaries of the Ocmulgee Mounds National Historical Park, and for other purposes.",Public Lands and Natural Resources,hr
hr284-116,2019-01-08 00:01:00,To amend the Internal Revenue Code of 1986 to make permanent the deduction for mortgage insurance premiums.,False,False,116,Mortgage Insurance Tax Deduction Act of 2019,Taxation,hr
hr285-116,2019-01-08 00:01:00,To amend the Internal Revenue Code of 1986 to make permanent the exclusion from gross income of discharge of qualified principal residence indebtedness.,False,False,116,Mortgage Debt Tax Forgiveness Act of 2018,Taxation,hr
hr286-116,2019-01-08 00:01:00,"To amend the Outer Continental Shelf Lands Act to prohibit oil and gas preleasing, leasing, and related activities in certain areas of the Outer Continental Shelf off the coast of Florida, and for other purposes.",False,False,116,Florida Coastal Protection Act,Energy,hr
hr287-116,2019-01-08 00:01:00,To prohibit oil and gas leasing on the outer Continental Shelf off the coast of New England.,False,False,116,New England Coastal Protection Act,Public Lands and Natural Resources,hr
hr288-116,2019-01-08 00:01:00,"To authorize the Secretary of the Interior to convey certain land and appurtenances of the Arbuckle Project, Oklahoma, to the Arbuckle Master Conservancy District, and for other purposes.",False,False,116,Arbuckle Project Maintenance Complex and District Office Conveyance Act of 2019,Public Lands and Natural Resources,hr
hr289-116,2019-01-08 00:01:00,"To establish the Commission on Long Term Social Security Solvency, and for other purposes.",False,False,116,Bipartisan Social Security Commission Act of 2019,Social Welfare,hr
hr290-116,2019-01-08 00:01:00,To reduce Federal spending and the deficit by terminating taxpayer financing of presidential election campaigns.,False,False,116,To reduce Federal spending and the deficit by terminating taxpayer financing of presidential election campaigns.,Taxation,hr
hr291-116,2019-01-08 00:01:00,"To amend the Outer Continental Shelf Lands Act to place a ten-year moratorium on oil and gas preleasing, leasing, and related activities on the Outer Continental Shelf in the North Atlantic, Mid-Atlantic, South Atlantic, and Straits of Florida planning areas and in the Eastern Gulf of Mexico.",False,False,116,Coastal Economies Protection Act,Energy,hr
hr292-116,2019-01-08 00:01:00,"To allow certain State and Tribal permitting authority to encourage expansion of broadband service to rural and Tribal communities, and for other purposes.",False,False,116,Rural Broadband Permitting Efficiency Act of 2019,"Science, Technology, Communications",hr
hr293-116,2019-01-08 00:01:00,"To prevent and reduce the use of tobacco products, and for other purposes.",False,False,116,Youth Vaping Prevention Act of 2019,Health,hr
hr294-116,2019-01-08 00:01:00,"To treat the Tuesday next after the first Monday in November in the same manner as any legal public holiday for purposes of Federal employment, and for other purposes.",False,False,116,Election Day Holiday Act of 2019,Government Operations and Politics,hr
hr295-116,2019-01-08 00:01:00,To increase the role of the financial industry in combating human trafficking.,False,False,116,End Banking for Human Traffickers Act of 2019,Finance and Financial Sector,hr
hr296-116,2019-01-08 00:01:00,"To amend title X of the Public Health Service Act to prohibit family planning grants from being awarded to any entity that performs abortions, and for other purposes.",False,False,116,Title X Abortion Provider Prohibition Act,Health,hr
hr297-116,2019-01-08 00:01:00,"To extend the Federal recognition to the Little Shell Tribe of Chippewa Indians of Montana, and for other purposes.",True,False,116,Little Shell Tribe of Chippewa Indians Restoration Act of 2019,Native Americans,hr
