_active,_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_top_subject,_type
False,hr2571-116,2019-01-08 00:05:00,"To preserve and protect the free choice of individual employees to form, join, or assist labor organizations, or to refrain from such activities.",False,False,116,National Right-to-Work Act,Labor and Employment,hr
False,hr2572-116,2019-01-08 00:05:00,"To amend the Federal Deposit Insurance Act to clarify the definition of a deposit broker, and for other purposes.",False,False,116,"To amend the Federal Deposit Insurance Act to clarify the definition of a deposit broker, and for other purposes.",Finance and Financial Sector,hr
False,hr2573-116,2019-01-08 00:05:00,To amend title XVIII of the Social Security Act to improve home health payment reforms under the Medicare program.,False,False,116,Home Health Payment Innovation Act of 2019,Health,hr
True,hr2574-116,2019-01-08 00:05:00,"To amend title VI of the Civil Rights Act of 1964 to restore the right to individual civil actions in cases involving disparate impact, and for other purposes.",False,False,116,Equity and Inclusion Enforcement Act,"Civil Rights and Liberties, Minority Issues",hr
False,hr2575-116,2019-01-08 00:05:00,"To authorize an AI Center of Excellence within the General Services Administration, and for other purposes.",False,False,116,AI in Government Act of 2019,Government Operations and Politics,hr
False,hr2576-116,2019-01-08 00:05:00,"To require a report on expenditures for contracts for advertising services, and for other purposes.",False,False,116,Federal Government Advertising Equity Accountability Act,Government Operations and Politics,hr
False,hr2577-116,2019-01-08 00:05:00,"To amend the Emergency Planning and Community Right-To-Know Act of 1986 to include per- and polyfluoroalkyl substances on the Toxics Release Inventory, and for other purposes.",False,False,116,PFAS Right-To-Know Act,Environmental Protection,hr
True,hr2578-116,2019-01-08 00:05:00,"To reauthorize the National Flood Insurance Program, and for other purposes.",True,False,116,National Flood Insurance Program Extension Act of 2019,Finance and Financial Sector,hr
True,hr2579-116,2019-01-08 00:05:00,"To modify the requirements applicable to locatable minerals on public domain lands, consistent with the principles of self-initiation of mining claims, and for other purposes.",False,False,116,Hardrock Leasing and Reclamation Act of 2019,Public Lands and Natural Resources,hr
False,hr2580-116,2019-01-08 00:05:00,"To amend the Controlled Substances Act to deem drugs or other substances that act as mu opioid receptor agonists to be in schedule I, subject to exceptions for substances intended for legitimate medical or research use, and for other purposes.",False,False,116,Modernizing Drug Enforcement Act of 2019,Crime and Law Enforcement,hr
